MtgCode,Track,MtgType,State,NoRaces,NoRunners,AdjRun,FavWin,Day,OtherWin,10Win,20Win,40Win,90Win,20Plus,10Run,20Run,40Run,90Run,OtherRun
8-Dec-17 Murwillumbah,Murwillumbah,Country,NSW,7,59,6,2,6,4,1,0,0,0,0,10,6,4,6,26
8-Dec-17 Muswellbrook,Muswellbrook,Country,NSW,8,79,8,4,6,4,0,0,0,0,0,17,12,8,9,25
8-Dec-17 Queanbeyan,Queanbeyan,Country,NSW,7,65,6.5,3,6,3,0,1,0,0,1,11,10,10,1,26
8-Dec-17 Port Lincoln,Port Lincoln,Provincial,SA,7,71,7,1,6,5,1,0,0,0,0,19,9,9,5,22
8-Dec-17 Doomben,Doomben,Metro,QLD,7,65,6.5,1,6,5,1,0,0,0,0,18,4,11,5,20
8-Dec-17 Devonport Synthetic,Devonport Synthetic,Metro,TAS,8,65,6.5,4,6,2,1,1,0,0,1,15,11,5,2,24
8-Dec-17 Moonee Valley,Moonee Valley,Metro,VIC,8,79,8,2,6,4,1,1,0,0,1,24,9,7,1,30
9-Dec-17 Rosehill,Rosehill,Metro,NSW,9,86,8.5,2,7,5,2,0,0,0,0,24,11,11,5,26
9-Dec-17 Gunnedah,Gunnedah,Country,NSW,8,100,10,1,7,7,0,0,0,0,0,17,20,19,11,25
9-Dec-17 Pakenham,Pakenham,Country,VIC,9,96,9.5,0,7,5,2,1,1,0,2,27,13,10,3,34
9-Dec-17 Newcastle,Newcastle,Provincial,NSW,8,59,6,4,7,3,1,0,0,0,0,16,6,5,3,21
9-Dec-17 Stawell,Stawell,Country,VIC,7,72,7,5,7,0,2,0,0,0,0,22,17,5,4,17
9-Dec-17 Doomben,Doomben,Metro,QLD,9,107,10.5,1,7,5,3,0,0,0,0,31,17,13,11,26
9-Dec-17 Gold Coast,Gold Coast,Metro,QLD,8,60,6,2,7,4,2,0,0,0,0,16,14,1,1,20
9-Dec-17 Morphettville,Morphettville,Metro,SA,8,65,6.5,2,7,3,3,0,0,0,0,19,8,5,2,23
9-Dec-17 Albury,Albury,Country,NSW,6,71,7,3,7,2,0,0,1,0,1,20,10,13,4,18
9-Dec-17 Rockhampton,Rockhampton,Provincial,QLD,7,71,7,3,7,2,2,0,0,0,0,10,15,6,8,25
9-Dec-17 Ascot,Ascot,Metro,WA,9,90,9,3,7,4,0,2,0,0,2,22,11,12,6,30
9-Dec-17 Benalla,Benalla,Country,VIC,7,67,6.5,4,7,2,1,0,0,0,0,20,7,9,4,20
9-Dec-17 Darwin,Darwin,Metro,NT,5,44,4.5,1,7,1,2,1,0,0,1,13,2,5,1,18
9-Dec-17 Toowoomba,Toowoomba,Provincial,QLD,7,64,6.5,1,7,4,1,1,0,0,1,14,12,8,3,20
10-Dec-17 Bordertown,Bordertown,Country,SA,8,80,8,5,1,2,1,0,0,0,0,17,18,11,0,26
10-Dec-17 Hawkesbury,Hawkesbury,Provincial,NSW,7,64,6.5,2,1,3,2,0,0,0,0,12,9,9,3,24
10-Dec-17 Tatura,Tatura,Country,VIC,7,60,6,1,1,4,2,0,0,0,0,14,9,10,0,20
10-Dec-17 Werribee,Werribee,Country,VIC,8,74,7.5,4,1,2,2,0,0,0,0,14,15,9,5,23
10-Dec-17 Sunshine Coast,Sunshine Coast,Provincial,QLD,8,67,6.5,4,1,3,0,0,1,0,1,10,13,8,4,24
10-Dec-17 Nowra,Nowra,Country,NSW,7,61,6,1,1,5,1,0,0,0,0,15,7,7,4,21
10-Dec-17 Pinjarra,Pinjarra,Provincial,WA,9,112,11,4,1,3,1,0,1,0,1,19,20,22,13,29
11-Dec-17 Bairnsdale,Bairnsdale,Country,VIC,8,85,8.5,4,2,4,0,0,0,0,0,12,17,7,12,29
11-Dec-17 Wagga Riverside,Wagga Riverside,Country,NSW,8,78,8,2,2,5,1,0,0,0,0,13,11,11,5,30
11-Dec-17 Tuncurry,Tuncurry,Country,NSW,7,77,7.5,2,2,4,1,0,0,0,0,16,8,11,7,28
12-Dec-17 Orange,Orange,Country,NSW,8,75,7.5,4,3,4,0,0,0,0,0,14,11,12,6,24
12-Dec-17 Warrnambool,Warrnambool,Country,VIC,8,82,8,3,3,2,2,1,0,0,1,19,15,11,4,25
12-Dec-17 Dalby,Dalby,Provincial,QLD,7,63,6.5,0,3,4,3,0,0,0,0,17,5,8,1,25
13-Dec-17 Mornington,Mornington,Country,VIC,8,69,7,3,4,4,1,0,0,0,0,16,13,8,1,23
13-Dec-17 Balaklava,Balaklava,Provincial,SA,8,56,5.5,2,4,5,1,0,0,0,0,14,5,7,3,19
13-Dec-17 Gold Coast,Gold Coast,Metro,QLD,8,78,8,4,4,4,0,0,0,0,0,20,5,9,6,30
13-Dec-17 Wyong,Wyong,Provincial,NSW,7,50,5,3,4,2,2,0,0,0,0,12,8,4,3,16
13-Dec-17 Ascot,Ascot,Metro,WA,8,87,8.5,2,4,4,1,1,0,0,1,21,14,8,9,27
13-Dec-17 Launceston,Launceston,Metro,TAS,7,68,7,2,4,3,2,0,0,0,0,18,8,7,6,22
14-Dec-17 Geelong,Geelong,Country,VIC,8,76,7.5,3,5,2,3,0,0,0,0,16,9,15,3,25
14-Dec-17 Ballina,Ballina,Country,NSW,7,82,8,3,5,2,2,0,0,0,0,18,16,10,12,19
14-Dec-17 Goulburn,Goulburn,Country,NSW,7,65,6.5,5,5,2,0,0,0,0,0,11,12,10,5,20
14-Dec-17 Mackay,Mackay,Provincial,QLD,7,55,5.5,4,5,2,0,1,0,0,1,14,9,2,2,21
14-Dec-17 Geraldton,Geraldton,Provincial,WA,8,82,8,3,5,5,0,0,0,0,0,12,17,11,7,27
15-Dec-17 Coffs Harbour,Coffs Harbour,Country,NSW,8,109,11,3,6,3,1,1,0,0,1,29,16,17,13,26
15-Dec-17 Scone,Scone,Country,NSW,8,81,8,3,6,5,0,0,0,0,0,11,14,11,11,26
15-Dec-17 Ipswich,Ipswich,Provincial,QLD,7,70,7,2,6,2,2,1,0,0,1,17,7,9,4,26
15-Dec-17 Moe,Moe,Country,VIC,8,87,8.5,1,6,6,1,0,0,0,0,15,15,15,10,24
15-Dec-17 Warren,Warren,Country,NSW,6,71,7,2,6,3,1,0,0,0,0,17,12,12,5,19
15-Dec-17 Morphettville,Morphettville,Metro,SA,8,72,7,6,6,2,0,0,0,0,0,9,10,12,5,28
15-Dec-17 Hobart,Hobart,Metro,TAS,7,62,6,3,6,4,0,0,0,0,0,14,12,4,3,22
15-Dec-17 Esperance,Esperance,Provincial,WA,7,82,8,2,6,3,2,0,0,0,0,23,12,12,4,24
15-Dec-17 Canterbury,Canterbury,Metro,NSW,8,66,6.5,5,6,3,0,0,0,0,0,16,9,4,0,29
15-Dec-17 Moonee Valley,Moonee Valley,Metro,VIC,8,80,8,2,6,5,1,0,0,0,0,18,14,8,1,31
15-Dec-17 Sunshine Coast,Sunshine Coast,Provincial,QLD,7,64,6.5,3,6,4,0,0,0,0,0,8,10,3,11,25
16-Dec-17 Randwick,Randwick,Metro,NSW,9,103,10.5,3,7,5,1,0,0,0,0,30,21,11,5,27
16-Dec-17 Caulfield,Caulfield,Metro,VIC,9,105,10.5,3,7,3,2,1,0,0,1,30,16,14,5,31
16-Dec-17 Colac,Colac,Country,VIC,7,69,7,1,7,4,0,2,0,0,2,14,7,11,7,23
16-Dec-17 Doomben,Doomben,Metro,QLD,9,106,10.5,4,7,5,0,0,0,0,0,22,18,15,14,28
16-Dec-17 Albury,Albury,Country,NSW,7,74,7.5,3,7,3,0,1,0,0,1,15,13,10,6,23
16-Dec-17 Kembla Grange,Kembla Grange,Provincial,NSW,7,63,6.5,2,7,3,2,0,0,0,0,16,9,7,4,20
16-Dec-17 Gold Coast,Gold Coast,Metro,QLD,8,63,6.5,4,7,3,1,0,0,0,0,12,10,1,1,31
16-Dec-17 Morphettville Parks,Morphettville Parks,Metro,SA,8,62,6,4,7,3,0,1,0,0,1,17,6,7,1,23
16-Dec-17 Moree,Moree,Country,NSW,6,52,5,2,7,1,3,0,0,0,0,15,10,5,0,16
16-Dec-17 Townsville,Townsville,Provincial,QLD,6,75,7.5,3,7,1,1,0,1,0,1,21,6,15,10,17
16-Dec-17 Darwin,Darwin,Metro,NT,5,44,4.5,1,7,2,2,0,0,0,0,7,8,3,1,20
16-Dec-17 Narrogin,Narrogin,Provincial,WA,8,73,7.5,4,7,3,0,1,0,0,1,7,16,12,3,27
16-Dec-17 Wangaratta,Wangaratta,Country,VIC,6,54,5.5,3,7,3,0,0,0,0,0,10,10,8,4,16
16-Dec-17 Ascot,Ascot,Metro,WA,8,66,6.5,5,7,3,0,0,0,0,0,16,9,6,4,23
16-Dec-17 Cranbourne,Cranbourne,Country,VIC,7,68,7,3,7,3,1,0,0,0,0,7,14,9,6,25
16-Dec-17 Toowoomba,Toowoomba,Provincial,QLD,7,46,4.5,5,7,2,0,0,0,0,0,9,6,5,1,18
17-Dec-17 Bendigo,Bendigo,Country,VIC,8,78,8,1,1,4,2,1,0,0,1,21,11,8,2,28
17-Dec-17 Horsham,Horsham,Country,VIC,7,62,6,2,1,2,1,1,1,0,2,15,11,6,2,21
17-Dec-17 Port Lincoln,Port Lincoln,Provincial,SA,8,75,7.5,3,1,5,0,0,0,0,0,10,17,7,5,28
17-Dec-17 Canberra,Canberra,Country,ACT,7,83,8.5,1,1,4,2,0,0,0,0,23,11,15,8,19
17-Dec-17 Hawkesbury,Hawkesbury,Provincial,NSW,7,59,6,2,1,2,3,0,0,0,0,13,11,7,2,19
17-Dec-17 Sunshine Coast,Sunshine Coast,Provincial,QLD,7,62,6,1,1,4,2,0,0,0,0,17,14,3,1,20
17-Dec-17 Alice Springs,Alice Springs,Provincial,NT,6,44,4.5,1,1,4,1,0,0,0,0,10,3,3,0,22
17-Dec-17 Bunbury,Bunbury,Country,WA,8,77,7.5,2,1,3,3,0,0,0,0,15,16,6,5,27
18-Dec-17 Narromine,Narromine,Country,NSW,7,68,7,1,2,4,0,2,0,0,2,13,9,14,6,19
18-Dec-17 Taree,Taree,Country,NSW,7,72,7,3,2,3,1,0,0,0,0,20,10,12,6,17
19-Dec-17 Kilmore,Kilmore,Country,VIC,8,73,7.5,6,3,2,0,0,0,0,0,21,12,11,5,16
19-Dec-17 Armidale,Armidale,Country,NSW,8,95,9.5,2,3,6,0,0,0,0,0,21,12,7,18,29
19-Dec-17 Rockhampton,Rockhampton,Provincial,QLD,7,66,6.5,4,3,2,1,0,0,0,0,13,11,10,7,18
20-Dec-17 Echuca,Echuca,Country,VIC,8,80,8,5,4,2,1,0,0,0,0,24,8,9,9,22
20-Dec-17 Doomben,Doomben,Metro,QLD,9,88,9,4,4,4,1,0,0,0,0,24,16,9,5,25
20-Dec-17 Canterbury,Canterbury,Metro,NSW,7,48,5,2,4,4,1,0,0,0,0,8,6,1,2,24
20-Dec-17 Sandown Hillside,Sandown Hillside,Metro,VIC,8,91,9,5,4,2,0,1,0,0,1,24,14,12,7,26
20-Dec-17 Strathalbyn,Strathalbyn,Provincial,SA,8,68,7,2,4,4,1,1,0,0,1,18,10,6,1,25
20-Dec-17 Ascot,Ascot,Metro,WA,8,82,8,1,4,5,1,1,0,0,1,22,19,13,4,16
20-Dec-17 Launceston,Launceston,Metro,TAS,9,85,8.5,3,4,3,1,2,0,0,2,21,14,16,4,21
21-Dec-17 Wyong,Wyong,Provincial,NSW,7,51,5,2,5,5,0,0,0,0,0,5,8,6,2,23
21-Dec-17 Seymour,Seymour,Country,VIC,8,82,8,1,5,4,2,0,1,0,1,25,6,9,7,27
21-Dec-17 Townsville,Townsville,Provincial,QLD,7,63,6.5,3,5,4,0,0,0,0,0,13,13,12,2,16
22-Dec-17 Lismore,Lismore,Country,NSW,8,73,7.5,1,6,5,0,2,0,0,2,17,10,12,1,25
22-Dec-17 Wagga Riverside,Wagga Riverside,Country,NSW,8,80,8,3,6,4,1,0,0,0,0,20,6,15,2,29
22-Dec-17 Yarra Valley,Yarra Valley,Country,VIC,8,60,6,7,6,1,0,0,0,0,0,10,7,4,5,26
22-Dec-17 Ipswich,Ipswich,Provincial,QLD,8,60,6,2,6,5,1,0,0,0,0,13,8,8,2,21
22-Dec-17 Albany,Albany,Provincial,WA,7,68,7,3,6,3,1,0,0,0,0,9,11,6,10,25
23-Dec-17 Warwick Farm,Warwick Farm,Metro,NSW,9,73,7.5,2,7,2,3,2,0,0,2,16,11,6,2,29
23-Dec-17 Moonee Valley,Moonee Valley,Metro,VIC,9,91,9,1,7,5,2,0,1,0,1,27,11,8,4,32
23-Dec-17 Toowoomba,Toowoomba,Provincial,QLD,9,87,8.5,1,7,4,2,1,1,0,2,28,10,10,10,20
23-Dec-17 Kyneton,Kyneton,Country,VIC,7,60,6,2,7,4,1,0,0,0,0,13,9,4,3,24
23-Dec-17 Gold Coast,Gold Coast,Metro,QLD,10,104,10.5,4,7,3,2,1,0,0,1,35,17,10,9,23
23-Dec-17 Gawler,Gawler,Metro,SA,8,62,6,3,7,4,0,1,0,0,1,13,8,3,3,27
23-Dec-17 Mackay,Mackay,Provincial,QLD,6,49,5,2,7,3,0,0,1,0,1,7,8,5,3,20
23-Dec-17 Bathurst,Bathurst,Country,NSW,6,38,4,4,7,2,0,0,0,0,0,7,3,5,1,16
23-Dec-17 Newcastle,Newcastle,Provincial,NSW,7,58,6,2,7,2,3,0,0,0,0,15,9,6,4,17
23-Dec-17 Ascot,Ascot,Metro,WA,8,72,7,2,7,4,0,2,0,0,2,14,15,6,3,26
24-Dec-17 Werribee,Werribee,Country,VIC,9,80,8,1,1,7,1,0,0,0,0,19,14,5,3,30
24-Dec-17 Moruya,Moruya,Country,NSW,7,57,5.5,0,1,7,0,0,0,0,0,14,4,6,1,25
24-Dec-17 Taree,Taree,Country,NSW,7,67,6.5,2,1,4,1,0,0,0,0,9,1,8,15,27
24-Dec-17 Sunshine Coast,Sunshine Coast,Provincial,QLD,7,55,5.5,1,1,4,2,0,0,0,0,14,7,8,3,16
24-Dec-17 Bunbury,Bunbury,Country,WA,8,75,7.5,4,1,1,2,1,0,0,1,16,12,6,8,25
26-Dec-17 Geelong,Geelong,Country,VIC,7,63,6.5,4,3,2,1,0,0,0,0,16,7,7,1,25
26-Dec-17 Randwick,Randwick,Metro,NSW,8,70,7,2,3,5,1,0,0,0,0,23,7,5,0,27
26-Dec-17 Sunshine Coast,Sunshine Coast,Provincial,QLD,9,87,8.5,4,3,3,2,0,0,0,0,13,18,10,9,28
26-Dec-17 Caulfield,Caulfield,Metro,VIC,8,84,8.5,4,3,2,1,1,0,0,1,26,14,9,4,23
26-Dec-17 Morphettville,Morphettville,Metro,SA,8,65,6.5,4,3,4,0,0,0,0,0,18,13,3,1,22
26-Dec-17 Ballina,Ballina,Country,NSW,6,52,5,4,3,2,0,0,0,0,0,10,9,7,0,20
26-Dec-17 Newcastle,Newcastle,Provincial,NSW,7,53,5.5,1,3,6,0,0,0,0,0,10,5,2,4,25
26-Dec-17 Warwick,Warwick,Provincial,QLD,6,51,5,3,3,3,0,0,0,0,0,10,7,7,1,20
26-Dec-17 Pinjarra,Pinjarra,Provincial,WA,7,70,7,1,3,4,1,1,0,0,1,17,13,8,4,21
26-Dec-17 Albany,Albany,Provincial,WA,8,68,7,3,3,2,1,1,1,0,2,11,14,9,2,24
26-Dec-17 Esperance,Esperance,Provincial,WA,7,61,6,3,3,3,1,0,0,0,0,18,7,4,3,22
27-Dec-17 Mornington,Mornington,Country,VIC,8,58,6,4,4,3,1,0,0,0,0,11,4,7,3,25
27-Dec-17 Ipswich,Ipswich,Provincial,QLD,9,47,4.5,6,4,2,0,0,1,0,1,9,3,4,0,22
27-Dec-17 Penola,Penola,Country,SA,8,77,7.5,2,4,5,1,0,0,0,0,19,9,11,3,27
27-Dec-17 Scone,Scone,Country,NSW,7,67,6.5,3,4,3,1,0,0,0,0,17,8,8,7,20
27-Dec-17 Geraldton,Geraldton,Provincial,WA,9,84,8.5,5,4,3,1,0,0,0,0,20,10,9,10,26
28-Dec-17 Yarra Valley,Yarra Valley,Country,VIC,8,59,6,2,5,5,1,0,0,0,0,10,8,3,3,27
28-Dec-17 Corowa,Corowa,Country,NSW,7,72,7,3,5,4,0,0,0,0,0,15,6,16,7,21
28-Dec-17 Gosford,Gosford,Provincial,NSW,7,54,5.5,4,5,3,0,0,0,0,0,11,2,8,2,24
29-Dec-17 Coffs Harbour,Coffs Harbour,Country,NSW,8,87,8.5,3,6,5,0,0,0,0,0,20,17,8,6,28
29-Dec-17 Canberra,Canberra,Country,ACT,8,61,6,2,6,4,2,0,0,0,0,15,7,4,3,24
29-Dec-17 Bairnsdale,Bairnsdale,Country,VIC,8,65,6.5,3,6,5,0,0,0,0,0,12,9,11,4,21
29-Dec-17 Kilcoy,Kilcoy,Provincial,QLD,6,45,4.5,3,6,2,1,0,0,0,0,9,6,7,1,16
29-Dec-17 Gawler,Gawler,Metro,SA,7,68,7,2,6,5,0,0,0,0,0,15,7,8,6,25
29-Dec-17 Cranbourne,Cranbourne,Country,VIC,8,60,6,4,6,4,0,0,0,0,0,10,9,2,3,28
29-Dec-17 Bunbury,Bunbury,Country,WA,7,52,5,2,6,5,0,0,0,0,0,8,9,6,0,22
30-Dec-17 Randwick,Randwick,Metro,NSW,9,74,7.5,5,7,2,1,1,0,0,1,18,8,6,2,31
30-Dec-17 Sandown Hillside,Sandown Hillside,Metro,VIC,9,98,10,2,7,4,2,1,0,0,1,23,23,7,3,33
30-Dec-17 Stony Creek,Stony Creek,Country,VIC,7,58,6,3,7,1,2,0,1,0,1,17,5,10,1,18
30-Dec-17 Doomben,Doomben,Metro,QLD,9,118,12,3,7,3,1,1,1,0,2,33,21,17,10,28
30-Dec-17 Gold Coast,Gold Coast,Metro,QLD,8,74,7.5,2,7,4,2,0,0,0,0,18,13,9,5,21
30-Dec-17 Morphettville,Morphettville,Metro,SA,8,56,5.5,5,7,2,1,0,0,0,0,11,4,3,0,30
30-Dec-17 Orange,Orange,Country,NSW,7,59,6,3,7,3,1,0,0,0,0,15,8,6,3,20
30-Dec-17 Scone,Scone,Country,NSW,7,77,7.5,1,7,5,1,0,0,0,0,18,15,7,9,21
30-Dec-17 Rockhampton,Rockhampton,Provincial,QLD,6,61,6,1,7,0,4,1,0,0,1,13,10,11,4,17
30-Dec-17 Darwin,Darwin,Metro,NT,7,59,6,1,7,4,2,0,0,0,0,19,3,2,1,27
30-Dec-17 Ascot,Ascot,Metro,WA,8,89,9,3,7,5,0,0,0,0,0,23,10,14,7,27
31-Dec-17 Echuca,Echuca,Country,VIC,7,59,6,3,1,2,1,1,0,0,1,12,8,6,3,23
31-Dec-17 Hobart,Hobart,Metro,TAS,10,97,9.5,1,1,3,5,0,1,0,1,28,15,11,5,28
31-Dec-17 Gosford,Gosford,Provincial,NSW,7,54,5.5,1,1,5,0,1,0,0,1,9,7,3,2,26
31-Dec-17 Warrnambool,Warrnambool,Country,VIC,8,85,8.5,2,1,3,2,1,0,0,1,16,14,10,6,31
31-Dec-17 Port Lincoln,Port Lincoln,Provincial,SA,9,85,8.5,2,1,5,2,0,0,0,0,22,14,7,4,29
31-Dec-17 Nowra,Nowra,Country,NSW,7,73,7.5,3,1,2,1,1,0,0,1,23,9,5,8,21
31-Dec-17 Gilgandra,Gilgandra,Country,NSW,6,62,6,2,1,4,0,0,0,0,0,17,12,8,5,14
31-Dec-17 Toowoomba,Toowoomba,Provincial,QLD,7,50,5,3,1,3,0,1,0,0,1,9,6,3,4,21
31-Dec-17 Esperance,Esperance,Provincial,WA,6,47,4.5,1,1,5,0,0,0,0,0,11,6,5,1,18
1-Jan-18 Inverell,Inverell,Country,NSW,9,102,10,3,2,4,0,2,0,0,2,27,14,13,8,31
1-Jan-18 Randwick,Randwick,Metro,NSW,8,73,7.5,2,2,4,1,1,0,0,1,25,7,6,1,26
1-Jan-18 Flemington,Flemington,Metro,VIC,8,88,9,2,2,4,1,0,1,0,1,18,16,11,4,31
1-Jan-18 Longford,Longford,Metro,TAS,7,53,5.5,3,2,4,0,0,0,0,0,12,8,3,0,23
1-Jan-18 Murray Bridge,Murray Bridge,Provincial,SA,7,64,6.5,2,2,5,0,0,0,0,0,11,13,6,3,24
1-Jan-18 Mornington,Mornington,Country,VIC,7,57,5.5,3,2,2,1,1,0,0,1,11,7,5,5,22
1-Jan-18 Terang,Terang,Country,VIC,6,52,5,1,2,4,1,0,0,0,0,15,7,2,1,21
1-Jan-18 Ascot,Ascot,Metro,WA,9,95,9.5,4,2,4,1,0,0,0,0,17,11,13,12,33
2-Jan-18 Wangaratta,Wangaratta,Country,VIC,8,90,9,1,3,4,1,2,0,0,2,18,14,13,12,25
2-Jan-18 Murwillumbah,Murwillumbah,Country,NSW,7,56,5.5,1,3,4,1,1,0,0,1,20,1,7,7,14
2-Jan-18 Sapphire Coast,Sapphire Coast,Country,NSW,7,64,6.5,2,3,2,2,0,1,0,1,17,10,6,2,22
3-Jan-18 Sandown Lakeside,Sandown Lakeside,Metro,VIC,8,88,9,2,4,2,3,1,0,0,1,25,21,7,6,21
3-Jan-18 Doomben,Doomben,Metro,QLD,9,95,9.5,4,4,3,1,1,0,0,1,25,17,13,5,26
3-Jan-18 Kembla Grange,Kembla Grange,Provincial,NSW,7,67,6.5,3,4,3,0,1,0,0,1,16,17,7,3,17
3-Jan-18 Strathalbyn,Strathalbyn,Provincial,SA,7,62,6,2,4,4,0,1,0,0,1,10,9,8,3,25
3-Jan-18 Geraldton,Geraldton,Provincial,WA,7,72,7,3,4,3,1,0,0,0,0,15,11,11,5,23
4-Jan-18 Geelong,Geelong,Country,VIC,8,78,8,3,5,3,2,0,0,0,0,17,8,5,11,29
4-Jan-18 Albury,Albury,Country,NSW,7,59,6,2,5,3,2,0,0,0,0,12,10,6,2,22
4-Jan-18 Taree,Taree,Country,NSW,7,78,8,6,5,0,1,0,0,0,0,18,8,13,11,21
4-Jan-18 Townsville,Townsville,Provincial,QLD,7,61,6,3,5,4,0,0,0,0,0,16,3,8,4,23
4-Jan-18 Narrogin,Narrogin,Provincial,WA,7,60,6,3,5,2,1,1,0,0,1,7,8,9,6,23
5-Jan-18 Stawell,Stawell,Country,VIC,8,83,8.5,1,6,3,3,1,0,0,1,22,9,7,11,26
5-Jan-18 Canberra,Canberra,Country,ACT,8,61,6,2,6,4,1,1,0,0,1,14,11,4,3,21
5-Jan-18 Tamworth,Tamworth,Country,NSW,7,69,7,3,6,3,1,0,0,0,0,18,7,10,9,18
5-Jan-18 Sunshine Coast,Sunshine Coast,Provincial,QLD,7,72,7,4,6,3,0,0,0,0,0,11,15,7,9,23
5-Jan-18 Canterbury,Canterbury,Metro,NSW,8,62,6,2,6,4,2,0,0,0,0,17,6,2,0,29
5-Jan-18 Cranbourne,Cranbourne,Country,VIC,8,70,7,3,6,5,0,0,0,0,0,15,13,7,2,25
6-Jan-18 Randwick,Randwick,Metro,NSW,9,71,7,2,7,6,0,1,0,0,1,18,10,6,1,27
6-Jan-18 Gold Coast,Gold Coast,Metro,QLD,9,97,9.5,3,7,4,2,0,0,0,0,31,13,8,9,27
6-Jan-18 Wyong,Wyong,Provincial,NSW,7,68,7,4,7,3,0,0,0,0,0,14,12,8,7,20
6-Jan-18 Ipswich,Ipswich,Provincial,QLD,8,70,7,1,7,5,2,0,0,0,0,11,7,8,5,31
6-Jan-18 Pinjarra,Pinjarra,Provincial,WA,9,99,10,2,7,4,3,0,0,0,0,31,17,13,7,22
6-Jan-18 Esperance,Esperance,Provincial,WA,6,62,6,4,7,1,1,0,0,0,0,17,10,9,2,18
6-Jan-18 Toowoomba,Toowoomba,Provincial,QLD,6,46,4.5,1,7,4,0,1,0,0,1,8,4,8,2,18
7-Jan-18 Gilgandra,Gilgandra,Country,NSW,8,71,7,3,1,4,1,0,0,0,0,13,15,8,6,21
7-Jan-18 Caulfield,Caulfield,Metro,VIC,9,95,9.5,3,1,5,0,1,0,0,1,24,20,9,1,32
7-Jan-18 Murwillumbah,Murwillumbah,Country,NSW,9,102,10,5,1,2,1,1,0,0,1,22,16,12,18,25
7-Jan-18 Warrnambool,Warrnambool,Country,VIC,8,74,7.5,3,1,4,1,0,0,0,0,19,9,7,8,23
7-Jan-18 Gawler,Gawler,Metro,SA,8,63,6.5,2,1,5,1,0,0,0,0,12,9,4,0,30
7-Jan-18 Sunshine Coast,Sunshine Coast,Provincial,QLD,8,72,7,4,1,1,3,0,0,0,0,13,10,17,0,24
7-Jan-18 Albany,Albany,Provincial,WA,7,64,6.5,5,1,2,0,0,0,0,0,15,9,7,7,19
8-Jan-18 Stony Creek,Stony Creek,Country,VIC,8,82,8,2,2,2,3,1,0,0,1,18,11,9,12,24
8-Jan-18 Naracoorte,Naracoorte,Country,SA,7,60,6,1,2,4,1,0,1,0,1,14,10,7,4,18
8-Jan-18 Moruya,Moruya,Country,NSW,8,77,7.5,4,2,2,2,0,0,0,0,22,10,7,5,25
8-Jan-18 Kilmore,Kilmore,Country,VIC,8,77,7.5,6,2,0,2,0,0,0,0,23,7,12,4,23
9-Jan-18 Yarra Valley,Yarra Valley,Country,VIC,10,87,8.5,3,3,5,2,0,0,0,0,21,15,6,8,27
9-Jan-18 Mackay,Mackay,Provincial,QLD,7,60,6,2,3,5,0,0,0,0,0,9,13,4,2,25
9-Jan-18 Cessnock,Cessnock,Country,NSW,7,60,6,2,3,5,0,0,0,0,0,17,5,7,6,18
9-Jan-18 Kempsey,Kempsey,Country,NSW,7,66,6.5,3,3,3,0,1,0,0,1,8,5,16,5,25
10-Jan-18 Devonport Synthetic,Devonport Synthetic,Metro,TAS,10,99,10,1,4,9,0,0,0,0,0,23,9,14,4,39
10-Jan-18 Sandown Hillside,Sandown Hillside,Metro,VIC,8,88,9,1,4,6,1,0,0,0,0,22,11,9,5,33
10-Jan-18 Murray Bridge,Murray Bridge,Provincial,SA,8,80,8,2,4,4,1,1,0,0,1,22,8,9,7,26
10-Jan-18 Doomben,Doomben,Metro,QLD,8,74,7.5,3,4,5,0,0,0,0,0,16,12,6,8,24
10-Jan-18 Canterbury,Canterbury,Metro,NSW,7,50,5,1,4,4,2,0,0,0,0,12,3,1,3,24
10-Jan-18 Bunbury,Bunbury,Country,WA,9,94,9.5,3,4,6,0,0,0,0,0,19,8,12,17,29
11-Jan-18 Geelong,Geelong,Country,VIC,8,68,7,2,5,5,1,0,0,0,0,18,9,3,4,26
11-Jan-18 Gosford,Gosford,Provincial,NSW,7,59,6,2,5,3,0,2,0,0,2,7,14,6,2,23
11-Jan-18 Rockhampton,Rockhampton,Provincial,QLD,7,64,6.5,2,5,4,1,0,0,0,0,9,11,9,6,22
11-Jan-18 Geraldton,Geraldton,Provincial,WA,7,73,7.5,2,5,4,0,1,0,0,1,14,11,9,7,25
12-Jan-18 Wagga,Wagga,Country,NSW,9,101,10,3,6,2,4,0,0,0,0,19,18,13,16,26
12-Jan-18 Hamilton,Hamilton,Country,VIC,8,97,9.5,1,6,6,0,1,0,0,1,25,14,10,17,23
12-Jan-18 Muswellbrook,Muswellbrook,Country,NSW,7,66,6.5,2,6,4,1,0,0,0,0,14,13,5,9,18
12-Jan-18 Gatton,Gatton,Provincial,QLD,7,74,7.5,3,6,4,0,0,0,0,0,21,14,4,7,21
12-Jan-18 Hobart,Hobart,Metro,TAS,8,77,7.5,2,6,5,0,1,0,0,1,14,15,7,7,26
12-Jan-18 Port Macquarie,Port Macquarie,Country,NSW,8,81,8,2,6,2,2,2,0,0,2,15,13,12,5,28
12-Jan-18 Cranbourne,Cranbourne,Country,VIC,9,74,7.5,2,6,7,0,0,0,0,0,19,2,8,3,33
12-Jan-18 Sunshine Coast,Sunshine Coast,Provincial,QLD,7,61,6,4,6,2,0,1,0,0,1,17,11,8,7,11
